epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35938,2.41036,3.67417,1.89462,0,0,0,0,2.52356,3.81105,2.00207,2e-05,2e-05,2e-05
2,2.37501,2.55046,3.71725,1.9755,0,0,0,0,2.51415,3.81427,1.99623,5.9703e-05,5.9703e-05,5.9703e-05
3,3.68792,2.57701,3.74318,2.00198,0,0,0,0,2.52303,3.81391,2.00112,9.901e-05,9.901e-05,9.901e-05
4,5.0473,2.65401,3.83063,1.98452,0,0,0,0,2.11299,3.69487,1.67041,0.000137921,0.000137921,0.000137921
5,6.31292,2.18915,3.46487,1.58018,0.02533,0.21591,0.0157,0.00776,1.72786,3.53278,1.33855,0.000176436,0.000176436,0.000176436
6,7.48557,2.12749,2.98914,1.41648,0.048,0.40909,0.03518,0.01814,1.58398,3.40146,1.20371,0.000214555,0.000214555,0.000214555
7,8.76681,1.97823,2.42706,1.30229,0.03267,0.27841,0.04978,0.02364,1.65091,3.33096,1.24879,0.000252278,0.000252278,0.000252278
8,9.82931,1.80374,2.06624,1.33267,0.012,0.10227,0.06346,0.03173,1.60761,3.2635,1.2317,0.000289605,0.000289605,0.000289605
9,11.0637,1.77377,1.74569,1.27783,0.012,0.10227,0.06588,0.03757,1.50482,3.19232,1.1648,0.000326536,0.000326536,0.000326536
10,12.1731,1.68192,1.74308,1.26008,0.01133,0.09659,0.07296,0.04619,1.53732,3.15865,1.15992,0.000363071,0.000363071,0.000363071
11,13.1887,1.67178,1.65528,1.26678,0.012,0.10227,0.06864,0.04175,1.52516,3.13026,1.16081,0.00039921,0.00039921,0.00039921
12,14.0949,1.52278,1.77645,1.23799,0.01333,0.11364,0.06608,0.04476,1.50715,3.0857,1.15731,0.000434953,0.000434953,0.000434953
13,15.3923,1.68802,1.66983,1.2637,0.014,0.11932,0.05833,0.04054,1.47041,3.05698,1.14985,0.0004703,0.0004703,0.0004703
