epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25.2243,1.268,1.17622,1.12541,0.58508,0.17045,0.25136,0.14689,1.53088,2.58059,1.15745,0.00149155,0.00149155,0.00149155
43,25.8101,1.41412,1.25231,1.14275,0.58508,0.17045,0.25136,0.14689,1.53088,2.58059,1.15745,0.00152329,0.00152329,0.00152329
44,26.3776,1.42504,1.22022,1.14028,0.67255,0.25675,0.35326,0.19205,1.5153,2.41613,1.15491,0.00155482,0.00155482,0.00155482
45,26.9243,1.33702,1.22961,1.15077,0.67255,0.25675,0.35326,0.19205,1.5153,2.41613,1.15491,0.00158616,0.00158616,0.00158616
46,27.4828,1.48614,1.35447,1.17209,0.72159,0.29453,0.4227,0.2422,1.48215,2.32763,1.14089,0.0016173,0.0016173,0.0016173
47,28.0404,1.33444,1.21851,1.12377,0.72159,0.29453,0.4227,0.2422,1.48215,2.32763,1.14089,0.00164824,0.00164824,0.00164824
48,28.6448,1.5263,1.41949,1.25077,0.3472,0.24432,0.225,0.1345,1.50932,2.4205,1.16301,0.00167898,0.00167898,0.00167898
49,29.2246,1.38814,1.22099,1.12677,0.3472,0.24432,0.225,0.1345,1.50932,2.4205,1.16301,0.00170953,0.00170953,0.00170953
50,29.8087,1.41978,1.21049,1.14048,0.68968,0.35227,0.48286,0.28306,1.46296,1.85286,1.15202,0.00173988,0.00173988,0.00173988
51,30.3601,1.30762,1.13879,1.11347,0.68968,0.35227,0.48286,0.28306,1.46296,1.85286,1.15202,0.0017525,0.0017525,0.0017525
52,30.9493,1.37976,1.24884,1.16287,0.78545,0.51136,0.62177,0.36886,1.43509,1.50985,1.16789,0.00174755,0.00174755,0.00174755
53,31.4976,1.31682,1.20411,1.14115,0.78545,0.51136,0.62177,0.36886,1.43509,1.50985,1.16789,0.0017426,0.0017426,0.0017426
54,32.0632,1.3962,1.19762,1.12381,0.75814,0.5,0.6128,0.36629,1.42293,1.48062,1.17795,0.00173765,0.00173765,0.00173765
55,32.6488,1.42776,1.18054,1.15846,0.75814,0.5,0.6128,0.36629,1.42293,1.48062,1.17795,0.0017327,0.0017327,0.0017327
56,33.2277,1.27695,1.08884,1.10325,0.71392,0.5,0.62346,0.37057,1.46262,1.48428,1.1808,0.00172775,0.00172775,0.00172775
57,33.7962,1.33709,1.12638,1.09212,0.71392,0.5,0.62346,0.37057,1.46262,1.48428,1.1808,0.0017228,0.0017228,0.0017228
58,34.3682,1.22117,1.09046,1.06421,0.67106,0.44886,0.58512,0.34024,1.47034,1.59708,1.16294,0.00171785,0.00171785,0.00171785
59,34.9307,1.26497,1.11536,1.09484,0.67106,0.44886,0.58512,0.34024,1.47034,1.59708,1.16294,0.0017129,0.0017129,0.0017129
60,35.4998,1.39062,1.21748,1.13364,0.64283,0.53177,0.62528,0.36557,1.44737,1.40646,1.1609,0.00170795,0.00170795,0.00170795
61,36.064,1.26897,1.04941,1.04312,0.64283,0.53177,0.62528,0.36557,1.44737,1.40646,1.1609,0.001703,0.001703,0.001703
62,36.7034,1.39096,1.14029,1.11751,0.63564,0.60227,0.65182,0.38561,1.41989,1.28501,1.15855,0.00169805,0.00169805,0.00169805
63,37.3162,1.32084,1.06422,1.08571,0.63564,0.60227,0.65182,0.38561,1.41989,1.28501,1.15855,0.0016931,0.0016931,0.0016931
64,37.8991,1.35685,1.11631,1.11701,0.61321,0.61364,0.65211,0.38423,1.41279,1.2713,1.15097,0.00168815,0.00168815,0.00168815
65,38.4661,1.35221,1.15165,1.12191,0.61321,0.61364,0.65211,0.38423,1.41279,1.2713,1.15097,0.0016832,0.0016832,0.0016832
66,39.0397,1.31662,1.03687,1.07541,0.59429,0.53977,0.59681,0.35565,1.41641,1.28288,1.16451,0.00167825,0.00167825,0.00167825
67,39.6339,1.286,1.06961,1.06686,0.59429,0.53977,0.59681,0.35565,1.41641,1.28288,1.16451,0.0016733,0.0016733,0.0016733
68,40.203,1.3957,1.17622,1.12952,0.58809,0.54351,0.57237,0.32847,1.43105,1.43172,1.14748,0.00166835,0.00166835,0.00166835
69,40.7681,1.26378,1.07465,1.08357,0.58809,0.54351,0.57237,0.32847,1.43105,1.43172,1.14748,0.0016634,0.0016634,0.0016634
70,41.3185,1.2225,1.07961,1.07405,0.60912,0.33647,0.46481,0.27439,1.45724,1.83196,1.14622,0.00165845,0.00165845,0.00165845
71,41.871,1.21246,1.05151,1.09544,0.60912,0.33647,0.46481,0.27439,1.45724,1.83196,1.14622,0.0016535,0.0016535,0.0016535
72,42.4233,1.32702,1.15769,1.12878,0.74012,0.31818,0.45325,0.27377,1.44924,1.96078,1.13957,0.00164855,0.00164855,0.00164855
73,42.9701,1.31479,1.13505,1.06036,0.74012,0.31818,0.45325,0.27377,1.44924,1.96078,1.13957,0.0016436,0.0016436,0.0016436
