epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.57061,2.25646,4.45765,4.14679,1.79425,0,0,0,0,0,0,0,0,2.95041,5.05026,4.41391,2.4311,2e-05,2e-05,2e-05
2,16.6817,2.32097,4.70386,4.24666,1.84669,0,0,0,0,0,0,0,0,2.96209,5.04266,4.37187,2.43329,5.98515e-05,5.98515e-05,5.98515e-05
3,25.979,2.36352,4.65744,4.18815,1.85467,0,0,0,0,0,0,0,0,2.95309,5.02993,4.33653,2.42433,9.9505e-05,9.9505e-05,9.9505e-05
4,33.4051,2.44842,4.62457,4.32055,1.85218,0,0,0,0,0,0,0,0,2.95172,5.01449,4.31255,2.42956,0.000138961,0.000138961,0.000138961
5,41.5845,2.31928,4.5298,4.33174,1.78635,0.6318,0.10726,0.13901,0.08704,0.03467,0.29545,0.02542,0.00835,1.65387,4.40351,2.39167,1.28572,0.000178218,0.000178218,0.000178218
6,51.3632,1.95649,4.25204,2.34857,1.31693,0.27677,0.23864,0.21756,0.13836,0.25923,0.22159,0.19046,0.09703,1.4878,3.83854,1.96993,1.21435,0.000217278,0.000217278,0.000217278
7,59.2803,1.65627,4.32305,1.90561,1.27077,0.46457,0.375,0.38618,0.24163,0.44104,0.36364,0.36645,0.19389,1.43346,3.61053,1.87429,1.23534,0.000256139,0.000256139,0.000256139
8,67.5207,1.46415,3.23496,1.80821,1.29553,0.47962,0.3404,0.33741,0.20553,0.43232,0.30682,0.27256,0.12529,1.51136,4.34642,1.91889,1.20614,0.000294803,0.000294803,0.000294803
9,77.3927,1.50534,2.9933,1.49181,1.21801,0.49085,0.52037,0.50678,0.29298,0.47375,0.49432,0.43708,0.1922,1.45254,3.5214,1.49073,1.15662,0.000333268,0.000333268,0.000333268
10,84.7325,1.44978,2.95903,1.35002,1.18263,0.64836,0.60227,0.60679,0.3659,0.68702,0.57955,0.59687,0.2893,1.37347,2.9628,1.18133,1.1615,0.000371535,0.000371535,0.000371535
11,94.1282,1.39787,2.86908,1.32337,1.17278,0.56548,0.5176,0.498,0.29706,0.5674,0.47694,0.46804,0.22744,1.40407,3.43208,1.29673,1.13164,0.000409605,0.000409605,0.000409605
12,99.883,1.32174,2.51423,1.31297,1.18488,0.46924,0.42045,0.39058,0.2171,0.46975,0.42045,0.37967,0.16943,1.54384,3.47248,1.86259,1.25837,0.000447476,0.000447476,0.000447476
13,107.894,1.41408,2.84621,1.29976,1.16811,0.30601,0.39773,0.27255,0.16901,0.29289,0.38068,0.26361,0.12487,1.45279,3.25693,1.77521,1.21168,0.00048515,0.00048515,0.00048515
14,114.441,1.29663,2.42582,1.10914,1.16071,0.52736,0.56422,0.47775,0.26892,0.49302,0.53977,0.44025,0.19646,1.42455,3.19115,1.69809,1.20859,0.000522626,0.000522626,0.000522626
15,122.308,1.38157,2.55101,1.17836,1.17811,0.34635,0.53589,0.33034,0.18507,0.30836,0.48384,0.27977,0.114,1.43088,3.84892,2.35821,1.2058,0.000559903,0.000559903,0.000559903
16,129.762,1.32215,2.46551,1.34746,1.11044,0.35372,0.61364,0.37658,0.21506,0.29937,0.51705,0.30069,0.12138,1.46078,3.93542,1.50893,1.20613,0.000596983,0.000596983,0.000596983
