epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.92217,2.41036,3.67417,1.89462,0,0,0,0,2.52356,3.81105,2.00207,2e-05,2e-05,2e-05
2,2.76972,2.55046,3.71725,1.9755,0,0,0,0,2.51415,3.81427,1.99623,5.8812e-05,5.8812e-05,5.8812e-05
3,3.41294,2.57701,3.74318,2.00198,0,0,0,0,2.52303,3.81391,2.00112,9.604e-05,9.604e-05,9.604e-05
4,4.05346,2.65401,3.83063,1.98452,0,0,0,0,2.14043,3.70207,1.68599,0.000131684,0.000131684,0.000131684
5,4.65866,2.198,3.47995,1.59049,0.01933,0.16477,0.0115,0.00579,1.77079,3.56575,1.38413,0.000165744,0.000165744,0.000165744
6,5.26025,2.13297,3.03476,1.41818,0.03467,0.29545,0.0239,0.01347,1.63329,3.46436,1.28212,0.00019822,0.00019822,0.00019822
7,5.91253,2.0021,2.49825,1.31165,0.04667,0.39773,0.05551,0.02797,1.63625,3.37015,1.24823,0.000229112,0.000229112,0.000229112
8,6.48955,1.84672,2.0936,1.34534,0.01933,0.16477,0.04984,0.02812,1.59717,3.30389,1.2306,0.00025842,0.00025842,0.00025842
9,7.05991,1.78652,1.78977,1.26948,0.012,0.10227,0.04677,0.02544,1.50988,3.2707,1.19412,0.000286144,0.000286144,0.000286144
10,7.63184,1.67567,1.74767,1.25558,0.006,0.05114,0.03294,0.02042,1.43662,3.22749,1.1567,0.000312284,0.000312284,0.000312284
11,8.18758,1.69097,1.67649,1.28338,0.00667,0.05682,0.03692,0.01938,1.42276,3.20376,1.14477,0.00033684,0.00033684,0.00033684
12,8.74285,1.54726,1.73379,1.25864,0.00533,0.04545,0.02616,0.01543,1.4468,3.2086,1.17658,0.000359812,0.000359812,0.000359812
13,9.32821,1.72926,1.68529,1.29496,0.00533,0.04545,0.03785,0.0175,1.441,3.20992,1.18344,0.0003812,0.0003812,0.0003812
14,9.91432,1.5432,1.65476,1.27284,0.00467,0.03977,0.03026,0.01869,1.4096,3.21932,1.15087,0.000401004,0.000401004,0.000401004
15,10.4929,1.56598,1.65986,1.28542,0.006,0.05114,0.02861,0.02022,1.37019,3.21278,1.12041,0.000419224,0.000419224,0.000419224
16,11.059,1.52684,1.56495,1.19782,0.00667,0.05682,0.03797,0.02319,1.38502,3.19307,1.12272,0.00043586,0.00043586,0.00043586
17,11.6121,1.48489,1.60805,1.2207,0.00667,0.05682,0.03945,0.02341,1.38771,3.19288,1.12969,0.000450912,0.000450912,0.000450912
18,12.1793,1.58378,1.5985,1.23413,0.00533,0.04545,0.02955,0.01899,1.39624,3.17717,1.1518,0.00046438,0.00046438,0.00046438
19,12.8127,1.4992,1.49408,1.20553,0.006,0.05114,0.03195,0.02008,1.38016,3.1651,1.13715,0.000476264,0.000476264,0.000476264
20,13.3957,1.48475,1.45331,1.19243,0.00867,0.07386,0.06039,0.03541,1.34758,3.14287,1.09374,0.000486564,0.000486564,0.000486564
21,13.9771,1.41982,1.40145,1.17185,0.00933,0.07955,0.06609,0.03966,1.34167,3.12862,1.08219,0.00049528,0.00049528,0.00049528
22,14.5307,1.58407,1.50139,1.24258,0.01533,0.13068,0.08895,0.05773,1.37895,3.04889,1.09224,0.000502412,0.000502412,0.000502412
23,15.1009,1.43609,1.44751,1.22689,0.01867,0.15909,0.12321,0.07565,1.42493,3.01282,1.11757,0.00050796,0.00050796,0.00050796
